feature,mean_signed_coef,mean_abs_coef,n_folds_pos,n_folds_neg,n_folds_nonzero,sign_consistency
expr_ENSG00000219545,0.032232427681263526,0.032232427681263526,1,0,1,1.0
expr_ENSG00000146904,0.03193488919830053,0.03193488919830053,1,0,1,1.0
expr_ENSG00000110079,-0.028242539993726112,0.028242539993726112,0,1,1,1.0
expr_ENSG00000186472,0.02463572042803464,0.02463572042803464,1,0,1,1.0
expr_ENSG00000103811,0.023586847602888317,0.023586847602888317,1,0,1,1.0
expr_ENSG00000087589,-0.023557244256071044,0.023557244256071044,0,1,1,1.0
expr_ENSG00000198947,-0.0228694050815921,0.0228694050815921,0,1,1,1.0
expr_ENSG00000189350,-0.02161506489680507,0.02161506489680507,0,2,2,1.0
expr_ENSG00000210176,0.020040273063178085,0.020040273063178085,1,0,1,1.0
expr_ENSG00000165806,-0.01958078706971765,0.01958078706971765,0,1,1,1.0
expr_ENSG00000168421,0.016415743059683182,0.016415743059683182,1,0,1,1.0
expr_ENSG00000074266,-0.013995962417594595,0.013995962417594595,0,1,1,1.0
expr_ENSG00000073910,0.012251633499981575,0.012251633499981575,1,0,1,1.0
expr_ENSG00000114999,-0.011010456366786471,0.011010456366786471,0,1,1,1.0
expr_ENSG00000147459,0.010089334700406955,0.010089334700406955,1,0,1,1.0
expr_ENSG00000187764,-0.009573959315595548,0.009573959315595548,0,1,1,1.0
expr_ENSG00000188897,-0.008148069807164775,0.008148069807164775,0,1,1,1.0
expr_ENSG00000270641,0.007735255815473247,0.007735255815473247,1,0,1,1.0
expr_ENSG00000131042,-0.00574565085742164,0.00574565085742164,0,1,1,1.0
expr_ENSG00000188906,0.0051325641906405225,0.0051325641906405225,1,0,1,1.0
expr_ENSG00000073712,-0.004853164757325914,0.004853164757325914,0,1,1,1.0
expr_ENSG00000167716,0.004008876872080057,0.004008876872080057,2,0,2,1.0
expr_ENSG00000127415,-0.002702623634270463,0.002702623634270463,0,1,1,1.0
expr_ENSG00000143674,-0.0024218063470400598,0.0024218063470400598,0,1,1,1.0
expr_ENSG00000075391,-0.001903777677419043,0.001903777677419043,0,1,1,1.0
expr_ENSG00000140090,0.0012746274270726762,0.0012746274270726762,1,0,1,1.0
expr_ENSG00000183091,0.001191007620683659,0.001191007620683659,1,0,1,1.0
expr_ENSG00000114735,0.000263941465900245,0.000263941465900245,1,0,1,1.0
expr_ENSG00000197943,0.0002103916302469991,0.0002103916302469991,1,0,1,1.0
expr_ENSG00000120885,0.0,0.0,0,0,0,
expr_ENSG00000198727,0.0,0.0,0,0,0,
expr_ENSG00000198886,0.0,0.0,0,0,0,
expr_ENSG00000198786,0.0,0.0,0,0,0,
expr_ENSG00000137642,0.0,0.0,0,0,0,
expr_ENSG00000149927,0.0,0.0,0,0,0,
expr_ENSG00000178573,0.0,0.0,0,0,0,
expr_ENSG00000107679,0.0,0.0,0,0,0,
expr_ENSG00000075624,0.0,0.0,0,0,0,
expr_ENSG00000091536,0.0,0.0,0,0,0,
expr_ENSG00000198763,0.0,0.0,0,0,0,
expr_ENSG00000151150,0.0,0.0,0,0,0,
expr_ENSG00000115825,0.0,0.0,0,0,0,
expr_ENSG00000166833,0.0,0.0,0,0,0,
expr_ENSG00000165029,0.0,0.0,0,0,0,
expr_ENSG00000136717,0.0,0.0,0,0,0,
expr_ENSG00000134243,0.0,0.0,0,0,0,
