feature,mean_signed_coef,mean_abs_coef,n_folds_pos,n_folds_neg,n_folds_nonzero,sign_consistency
expr_ENSG00000124602,0.9751065222151608,2.9815546600949707,7,2,9,0.7777777777777778
expr_ENSG00000095585,2.9665556471737897,2.9665556471737897,9,0,9,1.0
expr_ENSG00000091536,-1.4604950088212443,2.88647355984913,3,6,9,0.6666666666666666
expr_ENSG00000109684,-2.730037519761306,2.779603387916298,1,8,9,0.8888888888888888
expr_ENSG00000120899,2.7273258643343175,2.7273258643343175,9,0,9,1.0
expr_ENSG00000178573,2.7127464608410627,2.7127464608410627,9,0,9,1.0
expr_ENSG00000138613,-0.24030613431670714,2.6066575957664657,3,6,9,0.6666666666666666
expr_ENSG00000003147,2.155584775721138,2.601721809546124,7,2,9,0.7777777777777778
expr_ENSG00000110077,-0.6042983321762284,2.59965022014236,4,5,9,0.5555555555555556
expr_ENSG00000131042,-1.7389771890312693,2.5815597515543804,3,6,9,0.6666666666666666
expr_ENSG00000120885,1.0498260378860933,2.547277676902345,6,3,9,0.6666666666666666
expr_ENSG00000197943,-1.706628861385626,2.5327848033044846,3,6,9,0.6666666666666666
expr_ENSG00000168421,-1.9504859479156886,2.510622205560183,2,7,9,0.7777777777777778
expr_ENSG00000153814,-2.0545660109031356,2.4832957515220864,1,8,9,0.8888888888888888
expr_ENSG00000066336,-2.44028102938844,2.44028102938844,0,9,9,1.0
expr_ENSG00000085514,-2.103184722517017,2.3543446586911903,2,7,9,0.7777777777777778
expr_ENSG00000138600,-2.296180649266108,2.296180649266108,0,9,9,1.0
expr_ENSG00000146904,-0.06696945891205226,2.293590968638054,4,5,9,0.5555555555555556
expr_ENSG00000151694,-0.28306880186375954,2.2869670825907624,3,6,9,0.6666666666666666
expr_ENSG00000074266,0.010929985374941695,2.2751541558808936,2,7,9,0.7777777777777778
expr_ENSG00000107679,0.9370734084675727,2.2461132086879685,5,4,9,0.5555555555555556
expr_ENSG00000071051,-1.7877990143446851,2.234041409478972,2,7,9,0.7777777777777778
expr_ENSG00000136717,-1.0753913407373437,2.1816298343151472,1,8,9,0.8888888888888888
expr_ENSG00000198087,2.163010734354367,2.163010734354367,9,0,9,1.0
expr_ENSG00000154734,1.6533837008035723,2.1618942951583824,8,1,9,0.8888888888888888
expr_ENSG00000112195,-1.1193130458290317,2.1557513362255056,2,7,9,0.7777777777777778
expr_ENSG00000113108,-1.826171512371437,2.119013848279225,2,7,9,0.7777777777777778
expr_ENSG00000103811,1.4848134343991006,2.09803508245455,6,3,9,0.6666666666666666
expr_ENSG00000165806,-1.3199833913559536,2.0940305261044325,3,6,9,0.6666666666666666
expr_ENSG00000219545,-0.3090859913914446,2.0291148418699416,5,4,9,0.5555555555555556
expr_ENSG00000186815,-1.0550842854645246,1.9593829787790038,3,6,9,0.6666666666666666
expr_ENSG00000168918,1.2700495739049005,1.9539905506977462,7,2,9,0.7777777777777778
expr_ENSG00000132432,-1.0567961126868441,1.9196762379890953,2,7,9,0.7777777777777778
expr_ENSG00000148429,-1.3188976010676117,1.81404053072681,3,6,9,0.6666666666666666
expr_ENSG00000126856,1.6186560999243345,1.808394569309934,7,2,9,0.7777777777777778
expr_ENSG00000028528,1.2574817810170371,1.7754303050008122,6,3,9,0.6666666666666666
expr_ENSG00000167716,-0.5077124013179419,1.7147495256630436,5,4,9,0.5555555555555556
expr_ENSG00000137642,-1.0232598742924734,1.6752957132585546,2,7,9,0.7777777777777778
expr_ENSG00000140090,-1.3355956543795846,1.6071583913917005,1,8,9,0.8888888888888888
expr_ENSG00000145901,0.6158369033568138,1.604064478464867,5,4,9,0.5555555555555556
expr_ENSG00000125826,-0.240002161193299,1.5927286994512868,5,4,9,0.5555555555555556
expr_ENSG00000108379,1.4144433529070948,1.5783623857206932,7,2,9,0.7777777777777778
expr_ENSG00000179526,1.1488370802977488,1.5704288315349784,6,3,9,0.6666666666666666
expr_ENSG00000146090,1.4348284325437544,1.567135820918848,7,2,9,0.7777777777777778
expr_ENSG00000214300,1.2861028862263018,1.4566779513064458,7,2,9,0.7777777777777778
expr_ENSG00000142192,0.0895528604238353,1.4062881206071536,6,3,9,0.6666666666666666
expr_ENSG00000237541,0.37531916055582587,1.374249477060159,5,4,9,0.5555555555555556
expr_ENSG00000110079,0.046835591789239954,1.3530189130613837,5,4,9,0.5555555555555556
expr_ENSG00000086289,-0.6414400911362681,1.3444981725566183,3,6,9,0.6666666666666666
expr_ENSG00000249853,0.16762646480472826,1.2735686992691262,6,3,9,0.6666666666666666
expr_ENSG00000161929,-0.644488882272313,1.2681303695659571,4,5,9,0.5555555555555556
expr_ENSG00000157368,-0.021844609735417082,1.0139877962969266,4,5,9,0.5555555555555556
expr_ENSG00000127415,0.5504583718799965,0.8922151669673831,8,1,9,0.8888888888888888
